##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Mucor_WGS_A01_1_10475491_22MKWLLT3_L1_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	26877936
1118	125-129	-0.06608267108126853
1118	130-134	-0.08919137916197428
1118	135-139	-0.019083806493952693
1118	140-144	-0.026065066465179143
1118	145-149	0.021300314523216457
1118	150	0.14714742835759864
1119	1	-0.04674300928059694
1119	2	0.019748573136773473
1119	3	-0.02767167814059235
1119	4	0.05134907293099644
1119	5	0.0053813211996143195
1119	6	0.035625840959859545
1119	7	-0.02013385997010886
1119	8	0.08535127581939861
1119	9	0.05501422782250387
1119	10-14	0.04352225635329887
1119	15-19	-0.02770007833589716
1119	20-24	0.0055827470346372365
1119	25-29	0.00585240385694874
1119	30-34	-0.018284371752841366
1119	35-39	-0.023157026772722134
1119	40-44	-0.06743759024607954
1119	45-49	-0.06475048595373067
1119	50-54	-0.04590099123551994
1119	55-59	-0.04837895982588236
1119	60-64	-0.058486769850972564
1119	65-69	-0.046381013468156596
1119	70-74	-0.0754018114028483
1119	75-79	-0.0839478536916971
1119	80-84	-0.09351278649048567
1119	85-89	-0.03896447989904317
1119	90-94	-0.08444444940934659
1119	95-99	-0.06589897799463529
1119	100-104	-0.09818125726431504
1119	105-109	-0.056975889780034095
1119	110-114	-0.10296933085744087
1119	115-119	-0.04792817763249957
1119	120-124	-0.059917902557600655
1119	125-129	0.015126667027871576
1119	130-134	-0.032722200272957025
1119	135-139	0.042583811872930255
1119	140-144	0.04677143942404882
1119	145-149	0.07285728276571035
1119	150	0.07526118515094282
1120	1	-0.12933766552280446
1120	2	0.01977441632643462
1120	3	-0.047144010025867544
1120	4	0.02580666063159498
1120	5	0.028608343835095695
1120	6	0.0548327130242825
1120	7	0.08238567309994949
1120	8	0.10351623587921921
1120	9	0.07490396502929286
1120	10-14	0.0473567451796697
1120	15-19	0.028335482960613945
1120	20-24	0.008406211138520803
1120	25-29	0.005046594521424197
1120	30-34	0.024523186112446638
1120	35-39	0.0154306540323077
1120	40-44	0.005196718167255199
1120	45-49	-0.018102754649959252
1120	50-54	-0.015250149852874983
1120	55-59	-0.02624035804029745
1120	60-64	0.006605188090908598
1120	65-69	-0.014729288924534956
1120	70-74	-0.03617801449562563
1120	75-79	-0.0017119596363244227
1120	80-84	-0.001769836821765125
1120	85-89	0.02397147102470143
1120	90-94	0.02275770949780309
1120	95-99	0.005412853004251872
1120	100-104	0.0014979624759732246
1120	105-109	0.00190850731636516
1120	110-114	0.01617099388157328
